problem_1,file_1,problem_2,file_2,S_AST
p00118,s005615367.cpp,p00118,s006126205.cpp,0.8451
p00118,s005615367.cpp,p00118,s007996243.cpp,0.7441
p00118,s005615367.cpp,p00118,s010586621.cpp,0.6991
p00118,s005615367.cpp,p00118,s015107588.cpp,0.745
p00118,s005615367.cpp,p00118,s023159886.cpp,0.7589
p00118,s005615367.cpp,p00118,s025016103.cpp,0.5029
p00118,s005615367.cpp,p00118,s025694316.cpp,0.4112
p00118,s005615367.cpp,p00118,s029981568.cpp,0.7787
p00118,s005615367.cpp,p00118,s030305382.cpp,0.8025
p00118,s005615367.cpp,p00118,s063906183.cpp,0.7636
p00118,s005615367.cpp,p00118,s074715139.cpp,0.75
p00118,s005615367.cpp,p00118,s129847702.cpp,0.7768
p00118,s005615367.cpp,p00118,s246241553.cpp,0.7673
p00118,s005615367.cpp,p00118,s327876566.cpp,0.7768
p00118,s005615367.cpp,p00118,s531360425.cpp,0.7768
p00118,s005615367.cpp,p00118,s617630367.cpp,0.75
p00118,s005615367.cpp,p00118,s693559256.cpp,0.7768
p00118,s005615367.cpp,p00118,s881701389.cpp,0.7654
p00118,s005615367.cpp,p00118,s916567837.cpp,0.7768
p00118,s005615367.cpp,p00118,s968566472.cpp,0.7792
p00118,s006126205.cpp,p00118,s007996243.cpp,0.7069
p00118,s006126205.cpp,p00118,s010586621.cpp,0.6944
p00118,s006126205.cpp,p00118,s015107588.cpp,0.8025
p00118,s006126205.cpp,p00118,s023159886.cpp,0.7789
p00118,s006126205.cpp,p00118,s025016103.cpp,0.4763
p00118,s006126205.cpp,p00118,s025694316.cpp,0.3949
p00118,s006126205.cpp,p00118,s029981568.cpp,0.8168
p00118,s006126205.cpp,p00118,s030305382.cpp,0.8747
p00118,s006126205.cpp,p00118,s063906183.cpp,0.8279
p00118,s006126205.cpp,p00118,s074715139.cpp,0.8027
p00118,s006126205.cpp,p00118,s129847702.cpp,0.8276
p00118,s006126205.cpp,p00118,s246241553.cpp,0.843
p00118,s006126205.cpp,p00118,s327876566.cpp,0.8276
p00118,s006126205.cpp,p00118,s531360425.cpp,0.8276
p00118,s006126205.cpp,p00118,s617630367.cpp,0.8027
p00118,s006126205.cpp,p00118,s693559256.cpp,0.8276
p00118,s006126205.cpp,p00118,s881701389.cpp,0.7648
p00118,s006126205.cpp,p00118,s916567837.cpp,0.8276
p00118,s006126205.cpp,p00118,s968566472.cpp,0.8597
p00118,s007996243.cpp,p00118,s010586621.cpp,0.589
p00118,s007996243.cpp,p00118,s015107588.cpp,0.6162
p00118,s007996243.cpp,p00118,s023159886.cpp,0.6643
p00118,s007996243.cpp,p00118,s025016103.cpp,0.491
p00118,s007996243.cpp,p00118,s025694316.cpp,0.5029
p00118,s007996243.cpp,p00118,s029981568.cpp,0.6853
p00118,s007996243.cpp,p00118,s030305382.cpp,0.6667
p00118,s007996243.cpp,p00118,s063906183.cpp,0.6452
p00118,s007996243.cpp,p00118,s074715139.cpp,0.6208
p00118,s007996243.cpp,p00118,s129847702.cpp,0.6391
p00118,s007996243.cpp,p00118,s246241553.cpp,0.6372
p00118,s007996243.cpp,p00118,s327876566.cpp,0.6391
p00118,s007996243.cpp,p00118,s531360425.cpp,0.6391
p00118,s007996243.cpp,p00118,s617630367.cpp,0.6208
p00118,s007996243.cpp,p00118,s693559256.cpp,0.6391
p00118,s007996243.cpp,p00118,s881701389.cpp,0.6739
p00118,s007996243.cpp,p00118,s916567837.cpp,0.6391
p00118,s007996243.cpp,p00118,s968566472.cpp,0.652
p00118,s010586621.cpp,p00118,s015107588.cpp,0.6955
p00118,s010586621.cpp,p00118,s023159886.cpp,0.6784
