problem_1,file_1,problem_2,file_2,GroundTruth,S_token,S_AST,S_PDG,pdg_valid,S_structure,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan
p1,s1.cpp,p1,s10.cpp,1,1.0,0.9848,1.0,1,1.0,0.9998,0.0188,0.3996
p1,s1.cpp,p1,s11.cpp,1,1.0,1.0,1.0,1,1.0,0.9766,0.2163,4.5793
p1,s1.cpp,p1,s12.cpp,1,1.0,1.0,1.0,1,0.9231,0.8933,0.4621,5.6609
p1,s1.cpp,p1,s13.cpp,1,1.0,0.9954,1.0,1,1.0,1.0,0.0,0.0
p1,s1.cpp,p1,s14.cpp,1,1.0,0.9727,1.0,1,1.0,1.0,0.0,0.0
p1,s1.cpp,p1,s15.cpp,1,1.0,1.0,1.0,1,1.0,0.9792,0.2038,4.2202
p1,s1.cpp,p1,s16.cpp,1,1.0,1.0,1.0,1,1.0,0.9868,0.1627,3.483
p1,s1.cpp,p1,s17.cpp,1,1.0,0.9401,1.0,1,1.0,1.0,0.0,0.0
p1,s1.cpp,p1,s18.cpp,1,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0
p1,s1.cpp,p1,s19.cpp,1,1.0,0.9939,1.0,1,1.0,1.0,0.0,0.0
p1,s1.cpp,p1,s20.cpp,1,1.0,1.0,1.0,1,1.0,0.9292,0.3764,8.4034
p1,s1.cpp,p1,s21.cpp,1,1.0,1.0,1.0,1,1.0,0.8968,0.4543,10.1081
p1,s1.cpp,p1,s22.cpp,1,1.0,0.9803,1.0,1,1.0,0.9217,0.3959,8.8109
p1,s1.cpp,p1,s23.cpp,1,1.0,1.0,1.0,1,1.0,0.8697,0.5106,11.0319
p1,s1.cpp,p1,s24.cpp,1,1.0,1.0,1.0,1,1.0,0.9131,0.4168,9.2211
p1,s1.cpp,p1,s25.cpp,1,1.0,1.0,1.0,1,1.0,0.948,0.3224,7.1064
p1,s1.cpp,p1,s26.cpp,1,1.0,0.9683,1.0,1,1.0,0.8991,0.4492,9.8515
p1,s1.cpp,p1,s27.cpp,1,1.0,1.0,1.0,1,1.0,0.9359,0.358,7.9584
p1,s1.cpp,p1,s28.cpp,1,1.0,1.0,1.0,1,1.0,0.9924,0.123,2.7147
p1,s1.cpp,p1,s29.cpp,1,0.9012345679012346,0.9584,1.0,1,0.9231,0.6971,0.7784,13.8582
p1,s1.cpp,p1,s30.cpp,1,0.8862275449101796,0.9606,0.8461,1,0.9527,0.9929,0.1189,2.5708
p1,s1.cpp,p1,s31.cpp,1,0.8862275449101796,0.9606,0.8461,1,0.9527,0.9026,0.4414,9.8527
p1,s1.cpp,p1,s32.cpp,1,0.9005847953216374,0.9188,1.0,1,0.9021,0.9838,0.1799,3.9509
p1,s1.cpp,p1,s33.cpp,1,0.9176470588235294,0.9551,0.8078,1,0.948,0.9901,0.1406,2.9967
p1,s1.cpp,p1,s34.cpp,1,0.7804878048780488,0.8892,1.0,1,0.8705,0.8827,0.4844,10.6485
p1,s1.cpp,p1,s35.cpp,1,1.0,0.9757,1.0,1,1.0,0.9915,0.13,2.7469
p1,s1.cpp,p1,s36.cpp,1,0.935672514619883,0.948,0.9611,1,0.9298,0.8991,0.4491,9.9978
p1,s1.cpp,p1,s37.cpp,1,0.8953488372093024,0.9365,0.8184,1,0.9264,0.9436,0.336,7.3003
p1,s1.cpp,p1,s38.cpp,1,0.6708074534161491,0.8518,0.7636,1,0.8155,0.952,0.3099,6.4508
p1,s1.cpp,p1,s39.cpp,1,1.0,0.9954,1.0,1,1.0,0.9097,0.4249,9.4109
p1,s1.cpp,p1,s40.cpp,1,0.7672955974842768,0.8801,0.62,1,0.928,0.9454,0.3303,7.1835
p1,s1.cpp,p1,s41.cpp,1,0.6770833333333334,0.7733,0.7219,1,0.8695,0.893,0.4625,9.8686
p1,s1.cpp,p1,s42.cpp,1,1.0,0.9727,0.7018,1,1.0,0.9829,0.1848,4.0651
