problem_1,file_1,problem_2,file_2,S_token,S_AST,S_PDG,pdg_valid,S_structure,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan
p00118,s005615367.cpp,p00118,s006126205.cpp,0.5147058823529411,0.8451,0.7936,1,0.6587,0.9405,0.3449,7.5592
p00118,s005615367.cpp,p00118,s007996243.cpp,0.5694444444444444,0.7441,0.6089,1,0.7716,0.8937,0.4611,9.9511
p00118,s005615367.cpp,p00118,s010586621.cpp,0.5693430656934306,0.6991,0.7528,1,0.6525,0.8772,0.4955,10.9109
p00118,s005615367.cpp,p00118,s015107588.cpp,0.4525547445255474,0.745,0.7376,1,0.5941,0.8078,0.62,13.6269
p00118,s005615367.cpp,p00118,s023159886.cpp,0.5492957746478874,0.7589,0.7249,1,0.6868,0.8722,0.5056,11.24
p00118,s005615367.cpp,p00118,s025016103.cpp,0.4456521739130434,0.5029,0.0,0,0.6137,0.7499,0.7073,15.1868
p00118,s005615367.cpp,p00118,s025694316.cpp,0.2885572139303483,0.4112,0.659,1,0.4997,0.6844,0.7944,15.9541
p00118,s005615367.cpp,p00118,s029981568.cpp,0.5594405594405595,0.7787,0.6231,1,0.8103,0.8668,0.5161,11.249
p00118,s005615367.cpp,p00118,s030305382.cpp,0.4444444444444444,0.8025,0.7756,1,0.6539,0.8623,0.5249,11.3145
p00118,s005615367.cpp,p00118,s063906183.cpp,0.5,0.7636,0.7524,1,0.6423,0.8348,0.5748,10.2369
p00118,s005615367.cpp,p00118,s074715139.cpp,0.4592592592592592,0.75,0.6831,1,0.6304,0.9015,0.4439,9.5283
p00118,s005615367.cpp,p00118,s129847702.cpp,0.5373134328358209,0.7768,0.7218,1,0.652,0.9153,0.4116,8.781
p00118,s005615367.cpp,p00118,s246241553.cpp,0.5112781954887218,0.7673,0.7581,1,0.644,0.9044,0.4372,9.4554
p00118,s005615367.cpp,p00118,s327876566.cpp,0.5333333333333333,0.7768,0.7496,1,0.6564,0.9117,0.4202,8.9768
p00118,s005615367.cpp,p00118,s531360425.cpp,0.5037037037037037,0.7768,0.7156,1,0.652,0.9151,0.4121,8.8061
p00118,s005615367.cpp,p00118,s617630367.cpp,0.4328358208955223,0.75,0.7115,1,0.6324,0.9061,0.4333,9.27
p00118,s005615367.cpp,p00118,s693559256.cpp,0.5333333333333333,0.7768,0.7496,1,0.6564,0.9117,0.4202,8.9768
p00118,s005615367.cpp,p00118,s881701389.cpp,0.5755395683453237,0.7654,0.6914,1,0.6523,0.8602,0.5287,11.1069
p00118,s005615367.cpp,p00118,s916567837.cpp,0.5112781954887218,0.7768,0.7128,1,0.652,0.9143,0.4141,8.857
p00118,s005615367.cpp,p00118,s968566472.cpp,0.5,0.7792,0.72,1,0.6608,0.9034,0.4395,9.4635
p00118,s006126205.cpp,p00118,s007996243.cpp,0.4029850746268656,0.7069,0.5803,1,0.5602,0.9103,0.4235,9.074
p00118,s006126205.cpp,p00118,s010586621.cpp,0.4724409448818897,0.6944,0.73,1,0.5429,0.887,0.4753,10.5561
p00118,s006126205.cpp,p00118,s015107588.cpp,0.6299212598425197,0.8025,0.661,1,0.6664,0.8673,0.5152,11.1864
p00118,s006126205.cpp,p00118,s023159886.cpp,0.4848484848484848,0.7789,0.739,1,0.7673,0.8571,0.5347,11.7129
p00118,s006126205.cpp,p00118,s025016103.cpp,0.3563218390804598,0.4763,0.0,0,0.6587,0.788,0.6512,14.0903
p00118,s006126205.cpp,p00118,s025694316.cpp,0.3664921465968586,0.3949,0.6675,1,0.4287,0.7468,0.7116,14.0498
p00118,s006126205.cpp,p00118,s029981568.cpp,0.6165413533834586,0.8168,0.6094,1,0.7303,0.9025,0.4416,9.6237
p00118,s006126205.cpp,p00118,s030305382.cpp,0.704,0.8747,0.8457,1,0.8947,0.9024,0.4417,9.2358
p00118,s006126205.cpp,p00118,s063906183.cpp,0.6984126984126984,0.8279,0.7986,1,0.7884,0.8503,0.5472,9.3542
p00118,s006126205.cpp,p00118,s074715139.cpp,0.56,0.8027,0.7106,1,0.6989,0.8857,0.4782,10.5169
p00118,s006126205.cpp,p00118,s129847702.cpp,0.6612903225806451,0.8276,0.7676,1,0.7181,0.9017,0.4433,9.7669
p00118,s006126205.cpp,p00118,s246241553.cpp,0.6178861788617886,0.843,0.7742,1,0.778,0.9113,0.4212,9.1421
p00118,s006126205.cpp,p00118,s327876566.cpp,0.672,0.8276,0.8121,1,0.7274,0.8985,0.4506,9.8865
