problem_1,file_1,problem_2,file_2,S_PDG,pdg_valid
p00118,s005615367.cpp,p00118,s006126205.cpp,0.7936,1
p00118,s005615367.cpp,p00118,s007996243.cpp,0.6089,1
p00118,s005615367.cpp,p00118,s010586621.cpp,0.7528,1
p00118,s005615367.cpp,p00118,s015107588.cpp,0.7376,1
p00118,s005615367.cpp,p00118,s023159886.cpp,0.7249,1
p00118,s005615367.cpp,p00118,s025016103.cpp,0.0,0
p00118,s005615367.cpp,p00118,s025694316.cpp,0.659,1
p00118,s005615367.cpp,p00118,s029981568.cpp,0.6231,1
p00118,s005615367.cpp,p00118,s030305382.cpp,0.7756,1
p00118,s005615367.cpp,p00118,s063906183.cpp,0.7524,1
p00118,s005615367.cpp,p00118,s074715139.cpp,0.6831,1
p00118,s005615367.cpp,p00118,s129847702.cpp,0.7218,1
p00118,s005615367.cpp,p00118,s246241553.cpp,0.7581,1
p00118,s005615367.cpp,p00118,s327876566.cpp,0.7496,1
p00118,s005615367.cpp,p00118,s531360425.cpp,0.7156,1
p00118,s005615367.cpp,p00118,s617630367.cpp,0.7115,1
p00118,s005615367.cpp,p00118,s693559256.cpp,0.7496,1
p00118,s005615367.cpp,p00118,s881701389.cpp,0.6914,1
p00118,s005615367.cpp,p00118,s916567837.cpp,0.7128,1
p00118,s005615367.cpp,p00118,s968566472.cpp,0.72,1
p00118,s006126205.cpp,p00118,s007996243.cpp,0.5803,1
p00118,s006126205.cpp,p00118,s010586621.cpp,0.73,1
p00118,s006126205.cpp,p00118,s015107588.cpp,0.661,1
p00118,s006126205.cpp,p00118,s023159886.cpp,0.739,1
p00118,s006126205.cpp,p00118,s025016103.cpp,0.0,0
p00118,s006126205.cpp,p00118,s025694316.cpp,0.6675,1
p00118,s006126205.cpp,p00118,s029981568.cpp,0.6094,1
p00118,s006126205.cpp,p00118,s030305382.cpp,0.8457,1
p00118,s006126205.cpp,p00118,s063906183.cpp,0.7986,1
p00118,s006126205.cpp,p00118,s074715139.cpp,0.7106,1
p00118,s006126205.cpp,p00118,s129847702.cpp,0.7676,1
p00118,s006126205.cpp,p00118,s246241553.cpp,0.7742,1
p00118,s006126205.cpp,p00118,s327876566.cpp,0.8121,1
p00118,s006126205.cpp,p00118,s531360425.cpp,0.7625,1
p00118,s006126205.cpp,p00118,s617630367.cpp,0.7397,1
p00118,s006126205.cpp,p00118,s693559256.cpp,0.8121,1
p00118,s006126205.cpp,p00118,s881701389.cpp,0.6435,1
p00118,s006126205.cpp,p00118,s916567837.cpp,0.7565,1
p00118,s006126205.cpp,p00118,s968566472.cpp,0.7299,1
p00118,s007996243.cpp,p00118,s010586621.cpp,0.6026,1
p00118,s007996243.cpp,p00118,s015107588.cpp,0.5454,1
p00118,s007996243.cpp,p00118,s023159886.cpp,0.5809,1
p00118,s007996243.cpp,p00118,s025016103.cpp,0.0,0
p00118,s007996243.cpp,p00118,s025694316.cpp,0.4782,1
p00118,s007996243.cpp,p00118,s029981568.cpp,0.7769,1
p00118,s007996243.cpp,p00118,s030305382.cpp,0.5588,1
p00118,s007996243.cpp,p00118,s063906183.cpp,0.5896,1
p00118,s007996243.cpp,p00118,s074715139.cpp,0.4995,1
p00118,s007996243.cpp,p00118,s129847702.cpp,0.5903,1
p00118,s007996243.cpp,p00118,s246241553.cpp,0.5465,1
p00118,s007996243.cpp,p00118,s327876566.cpp,0.5723,1
p00118,s007996243.cpp,p00118,s531360425.cpp,0.5656,1
p00118,s007996243.cpp,p00118,s617630367.cpp,0.5163,1
p00118,s007996243.cpp,p00118,s693559256.cpp,0.5723,1
p00118,s007996243.cpp,p00118,s881701389.cpp,0.7545,1
p00118,s007996243.cpp,p00118,s916567837.cpp,0.5726,1
p00118,s007996243.cpp,p00118,s968566472.cpp,0.4984,1
p00118,s010586621.cpp,p00118,s015107588.cpp,0.6999,1
p00118,s010586621.cpp,p00118,s023159886.cpp,0.7008,1
p00118,s010586621.cpp,p00118,s025016103.cpp,0.0,0
p00118,s010586621.cpp,p00118,s025694316.cpp,0.6538,1
p00118,s010586621.cpp,p00118,s029981568.cpp,0.6471,1
p00118,s010586621.cpp,p00118,s030305382.cpp,0.7356,1
p00118,s010586621.cpp,p00118,s063906183.cpp,0.7803,1
p00118,s010586621.cpp,p00118,s074715139.cpp,0.7176,1
p00118,s010586621.cpp,p00118,s129847702.cpp,0.7965,1
p00118,s010586621.cpp,p00118,s246241553.cpp,0.7478,1
p00118,s010586621.cpp,p00118,s327876566.cpp,0.7838,1
p00118,s010586621.cpp,p00118,s531360425.cpp,0.7869,1
p00118,s010586621.cpp,p00118,s617630367.cpp,0.7342,1
p00118,s010586621.cpp,p00118,s693559256.cpp,0.7838,1
p00118,s010586621.cpp,p00118,s881701389.cpp,0.6841,1
p00118,s010586621.cpp,p00118,s916567837.cpp,0.7851,1
p00118,s010586621.cpp,p00118,s968566472.cpp,0.6937,1
p00118,s015107588.cpp,p00118,s023159886.cpp,0.639,1
p00118,s015107588.cpp,p00118,s025016103.cpp,0.0,0
p00118,s015107588.cpp,p00118,s025694316.cpp,0.5868,1
p00118,s015107588.cpp,p00118,s029981568.cpp,0.5314,1
p00118,s015107588.cpp,p00118,s030305382.cpp,0.6328,1
p00118,s015107588.cpp,p00118,s063906183.cpp,0.6337,1
p00118,s015107588.cpp,p00118,s074715139.cpp,0.6239,1
p00118,s015107588.cpp,p00118,s129847702.cpp,0.643,1
p00118,s015107588.cpp,p00118,s246241553.cpp,0.6848,1
p00118,s015107588.cpp,p00118,s327876566.cpp,0.6458,1
p00118,s015107588.cpp,p00118,s531360425.cpp,0.6383,1
p00118,s015107588.cpp,p00118,s617630367.cpp,0.6494,1
p00118,s015107588.cpp,p00118,s693559256.cpp,0.6458,1
p00118,s015107588.cpp,p00118,s881701389.cpp,0.5953,1
p00118,s015107588.cpp,p00118,s916567837.cpp,0.6333,1
p00118,s015107588.cpp,p00118,s968566472.cpp,0.613,1
p00118,s023159886.cpp,p00118,s025016103.cpp,0.0,0
p00118,s023159886.cpp,p00118,s025694316.cpp,0.6564,1
p00118,s023159886.cpp,p00118,s029981568.cpp,0.6135,1
p00118,s023159886.cpp,p00118,s030305382.cpp,0.7577,1
p00118,s023159886.cpp,p00118,s063906183.cpp,0.7299,1
p00118,s023159886.cpp,p00118,s074715139.cpp,0.6558,1
p00118,s023159886.cpp,p00118,s129847702.cpp,0.7419,1
p00118,s023159886.cpp,p00118,s246241553.cpp,0.6976,1
p00118,s023159886.cpp,p00118,s327876566.cpp,0.7587,1
p00118,s023159886.cpp,p00118,s531360425.cpp,0.7215,1
p00118,s023159886.cpp,p00118,s617630367.cpp,0.6878,1
p00118,s023159886.cpp,p00118,s693559256.cpp,0.7587,1
p00118,s023159886.cpp,p00118,s881701389.cpp,0.6241,1
p00118,s023159886.cpp,p00118,s916567837.cpp,0.7248,1
p00118,s023159886.cpp,p00118,s968566472.cpp,0.6569,1
p00118,s025016103.cpp,p00118,s025694316.cpp,0.0,0
p00118,s025016103.cpp,p00118,s029981568.cpp,0.0,0
p00118,s025016103.cpp,p00118,s030305382.cpp,0.0,0
p00118,s025016103.cpp,p00118,s063906183.cpp,0.0,0
p00118,s025016103.cpp,p00118,s074715139.cpp,0.0,0
p00118,s025016103.cpp,p00118,s129847702.cpp,0.0,0
p00118,s025016103.cpp,p00118,s246241553.cpp,0.0,0
p00118,s025016103.cpp,p00118,s327876566.cpp,0.0,0
p00118,s025016103.cpp,p00118,s531360425.cpp,0.0,0
p00118,s025016103.cpp,p00118,s617630367.cpp,0.0,0
p00118,s025016103.cpp,p00118,s693559256.cpp,0.0,0
p00118,s025016103.cpp,p00118,s881701389.cpp,0.0,0
p00118,s025016103.cpp,p00118,s916567837.cpp,0.0,0
p00118,s025016103.cpp,p00118,s968566472.cpp,0.0,0
p00118,s025694316.cpp,p00118,s029981568.cpp,0.5334,1
p00118,s025694316.cpp,p00118,s030305382.cpp,0.6971,1
p00118,s025694316.cpp,p00118,s063906183.cpp,0.6829,1
p00118,s025694316.cpp,p00118,s074715139.cpp,0.6178,1
p00118,s025694316.cpp,p00118,s129847702.cpp,0.6579,1
p00118,s025694316.cpp,p00118,s246241553.cpp,0.6227,1
p00118,s025694316.cpp,p00118,s327876566.cpp,0.6917,1
p00118,s025694316.cpp,p00118,s531360425.cpp,0.6641,1
p00118,s025694316.cpp,p00118,s617630367.cpp,0.6443,1
p00118,s025694316.cpp,p00118,s693559256.cpp,0.6917,1
p00118,s025694316.cpp,p00118,s881701389.cpp,0.6102,1
p00118,s025694316.cpp,p00118,s916567837.cpp,0.6466,1
p00118,s025694316.cpp,p00118,s968566472.cpp,0.6308,1
p00118,s029981568.cpp,p00118,s030305382.cpp,0.6303,1
p00118,s029981568.cpp,p00118,s063906183.cpp,0.6222,1
p00118,s029981568.cpp,p00118,s074715139.cpp,0.5471,1
p00118,s029981568.cpp,p00118,s129847702.cpp,0.6384,1
p00118,s029981568.cpp,p00118,s246241553.cpp,0.5888,1
p00118,s029981568.cpp,p00118,s327876566.cpp,0.6246,1
p00118,s029981568.cpp,p00118,s531360425.cpp,0.6084,1
p00118,s029981568.cpp,p00118,s617630367.cpp,0.5514,1
p00118,s029981568.cpp,p00118,s693559256.cpp,0.6246,1
p00118,s029981568.cpp,p00118,s881701389.cpp,0.7971,1
p00118,s029981568.cpp,p00118,s916567837.cpp,0.6095,1
p00118,s029981568.cpp,p00118,s968566472.cpp,0.5474,1
p00118,s030305382.cpp,p00118,s063906183.cpp,0.7904,1
p00118,s030305382.cpp,p00118,s074715139.cpp,0.718,1
p00118,s030305382.cpp,p00118,s129847702.cpp,0.8072,1
p00118,s030305382.cpp,p00118,s246241553.cpp,0.8054,1
p00118,s030305382.cpp,p00118,s327876566.cpp,0.8663,1
p00118,s030305382.cpp,p00118,s531360425.cpp,0.8064,1
p00118,s030305382.cpp,p00118,s617630367.cpp,0.7428,1
p00118,s030305382.cpp,p00118,s693559256.cpp,0.8663,1
p00118,s030305382.cpp,p00118,s881701389.cpp,0.6731,1
p00118,s030305382.cpp,p00118,s916567837.cpp,0.7971,1
p00118,s030305382.cpp,p00118,s968566472.cpp,0.7575,1
p00118,s063906183.cpp,p00118,s074715139.cpp,0.708,1
p00118,s063906183.cpp,p00118,s129847702.cpp,0.8137,1
p00118,s063906183.cpp,p00118,s246241553.cpp,0.7507,1
p00118,s063906183.cpp,p00118,s327876566.cpp,0.8293,1
p00118,s063906183.cpp,p00118,s531360425.cpp,0.8219,1
p00118,s063906183.cpp,p00118,s617630367.cpp,0.7403,1
p00118,s063906183.cpp,p00118,s693559256.cpp,0.8293,1
p00118,s063906183.cpp,p00118,s881701389.cpp,0.6731,1
p00118,s063906183.cpp,p00118,s916567837.cpp,0.817,1
p00118,s063906183.cpp,p00118,s968566472.cpp,0.7216,1
p00118,s074715139.cpp,p00118,s129847702.cpp,0.7293,1
p00118,s074715139.cpp,p00118,s246241553.cpp,0.728,1
p00118,s074715139.cpp,p00118,s327876566.cpp,0.7592,1
p00118,s074715139.cpp,p00118,s531360425.cpp,0.7548,1
p00118,s074715139.cpp,p00118,s617630367.cpp,0.8618,1
p00118,s074715139.cpp,p00118,s693559256.cpp,0.7592,1
p00118,s074715139.cpp,p00118,s881701389.cpp,0.5821,1
p00118,s074715139.cpp,p00118,s916567837.cpp,0.7473,1
p00118,s074715139.cpp,p00118,s968566472.cpp,0.9048,1
p00118,s129847702.cpp,p00118,s246241553.cpp,0.782,1
p00118,s129847702.cpp,p00118,s327876566.cpp,0.8903,1
p00118,s129847702.cpp,p00118,s531360425.cpp,0.9191,1
p00118,s129847702.cpp,p00118,s617630367.cpp,0.7678,1
p00118,s129847702.cpp,p00118,s693559256.cpp,0.8903,1
p00118,s129847702.cpp,p00118,s881701389.cpp,0.6589,1
p00118,s129847702.cpp,p00118,s916567837.cpp,0.9371,1
p00118,s129847702.cpp,p00118,s968566472.cpp,0.7102,1
p00118,s246241553.cpp,p00118,s327876566.cpp,0.7979,1
p00118,s246241553.cpp,p00118,s531360425.cpp,0.7766,1
p00118,s246241553.cpp,p00118,s617630367.cpp,0.7524,1
p00118,s246241553.cpp,p00118,s693559256.cpp,0.7979,1
p00118,s246241553.cpp,p00118,s881701389.cpp,0.6191,1
p00118,s246241553.cpp,p00118,s916567837.cpp,0.7722,1
p00118,s246241553.cpp,p00118,s968566472.cpp,0.7717,1
p00118,s327876566.cpp,p00118,s531360425.cpp,0.9589,1
p00118,s327876566.cpp,p00118,s617630367.cpp,0.7998,1
p00118,s327876566.cpp,p00118,s693559256.cpp,1.0,1
p00118,s327876566.cpp,p00118,s881701389.cpp,0.6815,1
p00118,s327876566.cpp,p00118,s916567837.cpp,0.9011,1
p00118,s327876566.cpp,p00118,s968566472.cpp,0.7372,1
p00118,s531360425.cpp,p00118,s617630367.cpp,0.7953,1
p00118,s531360425.cpp,p00118,s693559256.cpp,0.9589,1
p00118,s531360425.cpp,p00118,s881701389.cpp,0.6675,1
p00118,s531360425.cpp,p00118,s916567837.cpp,0.9358,1
p00118,s531360425.cpp,p00118,s968566472.cpp,0.713,1
p00118,s617630367.cpp,p00118,s693559256.cpp,0.7998,1
