Problem,Cluster_ID,Cluster_Size,Files,Pair_Relationships,Avg_Probability,Graph_Density,Confidence
p1,1,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p1,2,37,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s40.cpp, s41.cpp, s42.cpp, s44.cpp, s45.cpp, s48.cpp","s34.cpp - s1.cpp (Type-3, 0.99) | s39.cpp - s1.cpp (Type-3, 0.998) | s35.cpp - s1.cpp (Type-3, 1.0) | s11.cpp - s1.cpp (Type-1, 0.999) | s28.cpp - s1.cpp (Type-2, 1.0) | s44.cpp - s1.cpp (Type-4, 0.98) | s41.cpp - s1.cpp (Type-4, 0.973) | s31.cpp - s1.cpp (Type-3, 0.995) | s22.cpp - s1.cpp (Type-2, 0.998) | s24.cpp - s1.cpp (Type-2, 0.998) | s38.cpp - s1.cpp (Type-3, 0.989) | s25.cpp - s1.cpp (Type-2, 0.998) | s33.cpp - s1.cpp (Type-3, 0.999) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 1.0) | s29.cpp - s1.cpp (Type-2, 0.992) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.996) | s45.cpp - s1.cpp (Type-4, 0.995) | s20.cpp - s1.cpp (Type-2, 0.998) | s48.cpp - s1.cpp (Type-4, 0.992) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 0.998) | s1.cpp - s15.cpp (Type-1, 0.999) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-2, 0.997) | s1.cpp - s23.cpp (Type-2, 0.997) | s1.cpp - s26.cpp (Type-2, 0.997) | s1.cpp - s27.cpp (Type-2, 0.998) | s1.cpp - s30.cpp (Type-3, 0.999) | s1.cpp - s32.cpp (Type-3, 0.999) | s1.cpp - s37.cpp (Type-3, 0.996) | s1.cpp - s40.cpp (Type-4, 0.991) | s1.cpp - s42.cpp (Type-4, 0.999)",0.996,0.054,MEDIUM
p1,3,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p1,4,1,s43.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p1,5,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,6,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,7,30,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s26.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s40.cpp","s34.cpp - s1.cpp (Type-3, 0.996) | s39.cpp - s1.cpp (Type-3, 0.991) | s35.cpp - s1.cpp (Type-3, 0.988) | s11.cpp - s1.cpp (Type-1, 0.999) | s28.cpp - s1.cpp (Type-2, 0.996) | s31.cpp - s1.cpp (Type-3, 0.999) | s22.cpp - s1.cpp (Type-2, 0.998) | s24.cpp - s1.cpp (Type-2, 0.979) | s38.cpp - s1.cpp (Type-3, 0.99) | s33.cpp - s1.cpp (Type-3, 0.988) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 0.997) | s29.cpp - s1.cpp (Type-2, 0.983) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 0.999) | s13.cpp - s1.cpp (Type-1, 0.999) | s36.cpp - s1.cpp (Type-3, 0.995) | s20.cpp - s1.cpp (Type-2, 0.996) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 0.999) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-2, 0.996) | s1.cpp - s23.cpp (Type-2, 0.993) | s1.cpp - s26.cpp (Type-2, 0.991) | s1.cpp - s30.cpp (Type-3, 0.998) | s1.cpp - s32.cpp (Type-3, 0.999) | s1.cpp - s37.cpp (Type-3, 0.992) | s1.cpp - s40.cpp (Type-4, 0.98)",0.994,0.067,MEDIUM
p3,8,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,9,1,s41.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,10,1,s25.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,11,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,12,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,13,1,s48.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,14,1,s43.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,15,1,s42.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,16,1,s27.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3,17,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,18,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,19,29,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s38.cpp","s34.cpp - s1.cpp (Type-3, 0.999) | s35.cpp - s1.cpp (Type-3, 0.992) | s11.cpp - s1.cpp (Type-1, 1.0) | s28.cpp - s1.cpp (Type-2, 0.997) | s31.cpp - s1.cpp (Type-3, 0.999) | s22.cpp - s1.cpp (Type-2, 0.997) | s24.cpp - s1.cpp (Type-2, 0.998) | s38.cpp - s1.cpp (Type-3, 0.993) | s25.cpp - s1.cpp (Type-2, 0.997) | s33.cpp - s1.cpp (Type-3, 0.997) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 1.0) | s29.cpp - s1.cpp (Type-2, 0.997) | s17.cpp - s1.cpp (Type-1, 0.997) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.999) | s20.cpp - s1.cpp (Type-2, 0.998) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 1.0) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-2, 0.998) | s1.cpp - s23.cpp (Type-2, 0.997) | s1.cpp - s26.cpp (Type-2, 0.997) | s1.cpp - s27.cpp (Type-2, 0.997) | s1.cpp - s30.cpp (Type-3, 0.991) | s1.cpp - s32.cpp (Type-3, 0.984)",0.997,0.069,MEDIUM
p5,20,1,s39.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,21,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,22,1,s41.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,23,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,24,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,25,1,s48.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,26,1,s43.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,27,1,s42.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,28,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,29,1,s37.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p5,30,1,s40.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,31,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
