problem_1,file_1,problem_2,file_2,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan
p00118,s005615367.cpp,p00118,s006126205.cpp,0.9405,0.3449,7.5592
p00118,s005615367.cpp,p00118,s007996243.cpp,0.8937,0.4611,9.9511
p00118,s005615367.cpp,p00118,s010586621.cpp,0.8772,0.4955,10.9109
p00118,s005615367.cpp,p00118,s015107588.cpp,0.8078,0.62,13.6269
p00118,s005615367.cpp,p00118,s023159886.cpp,0.8722,0.5056,11.24
p00118,s005615367.cpp,p00118,s025016103.cpp,0.7499,0.7073,15.1868
p00118,s005615367.cpp,p00118,s025694316.cpp,0.6844,0.7944,15.9541
p00118,s005615367.cpp,p00118,s029981568.cpp,0.8668,0.5161,11.249
p00118,s005615367.cpp,p00118,s030305382.cpp,0.8623,0.5249,11.3145
p00118,s005615367.cpp,p00118,s063906183.cpp,0.8348,0.5748,10.2369
p00118,s005615367.cpp,p00118,s074715139.cpp,0.9015,0.4439,9.5283
p00118,s005615367.cpp,p00118,s129847702.cpp,0.9153,0.4116,8.781
p00118,s005615367.cpp,p00118,s246241553.cpp,0.9044,0.4372,9.4554
p00118,s005615367.cpp,p00118,s327876566.cpp,0.9117,0.4202,8.9768
p00118,s005615367.cpp,p00118,s531360425.cpp,0.9151,0.4121,8.8061
p00118,s005615367.cpp,p00118,s617630367.cpp,0.9061,0.4333,9.27
p00118,s005615367.cpp,p00118,s693559256.cpp,0.9117,0.4202,8.9768
p00118,s005615367.cpp,p00118,s881701389.cpp,0.8602,0.5287,11.1069
p00118,s005615367.cpp,p00118,s916567837.cpp,0.9143,0.4141,8.857
p00118,s005615367.cpp,p00118,s968566472.cpp,0.9034,0.4395,9.4635
p00118,s006126205.cpp,p00118,s007996243.cpp,0.9103,0.4235,9.074
p00118,s006126205.cpp,p00118,s010586621.cpp,0.887,0.4753,10.5561
p00118,s006126205.cpp,p00118,s015107588.cpp,0.8673,0.5152,11.1864
p00118,s006126205.cpp,p00118,s023159886.cpp,0.8571,0.5347,11.7129
p00118,s006126205.cpp,p00118,s025016103.cpp,0.788,0.6512,14.0903
p00118,s006126205.cpp,p00118,s025694316.cpp,0.7468,0.7116,14.0498
p00118,s006126205.cpp,p00118,s029981568.cpp,0.9025,0.4416,9.6237
p00118,s006126205.cpp,p00118,s030305382.cpp,0.9024,0.4417,9.2358
p00118,s006126205.cpp,p00118,s063906183.cpp,0.8503,0.5472,9.3542
p00118,s006126205.cpp,p00118,s074715139.cpp,0.8857,0.4782,10.5169
p00118,s006126205.cpp,p00118,s129847702.cpp,0.9017,0.4433,9.7669
p00118,s006126205.cpp,p00118,s246241553.cpp,0.9113,0.4212,9.1421
p00118,s006126205.cpp,p00118,s327876566.cpp,0.8985,0.4506,9.8865
p00118,s006126205.cpp,p00118,s531360425.cpp,0.902,0.4427,9.7278
p00118,s006126205.cpp,p00118,s617630367.cpp,0.8925,0.4637,10.2208
p00118,s006126205.cpp,p00118,s693559256.cpp,0.8985,0.4506,9.8865
p00118,s006126205.cpp,p00118,s881701389.cpp,0.8932,0.4622,9.3951
p00118,s006126205.cpp,p00118,s916567837.cpp,0.9002,0.4467,9.8317
p00118,s006126205.cpp,p00118,s968566472.cpp,0.9128,0.4176,9.0338
p00118,s007996243.cpp,p00118,s010586621.cpp,0.8308,0.5817,12.6752
p00118,s007996243.cpp,p00118,s015107588.cpp,0.7858,0.6545,13.6573
p00118,s007996243.cpp,p00118,s023159886.cpp,0.8165,0.6057,12.5302
p00118,s007996243.cpp,p00118,s025016103.cpp,0.7427,0.7173,15.0701
p00118,s007996243.cpp,p00118,s025694316.cpp,0.6993,0.7755,14.0415
p00118,s007996243.cpp,p00118,s029981568.cpp,0.8305,0.5823,12.2338
p00118,s007996243.cpp,p00118,s030305382.cpp,0.8222,0.5963,12.0343
p00118,s007996243.cpp,p00118,s063906183.cpp,0.7364,0.7261,12.2496
p00118,s007996243.cpp,p00118,s074715139.cpp,0.82,0.6,12.4521
p00118,s007996243.cpp,p00118,s129847702.cpp,0.8421,0.562,11.8003
p00118,s007996243.cpp,p00118,s246241553.cpp,0.8276,0.5872,12.1243
p00118,s007996243.cpp,p00118,s327876566.cpp,0.8389,0.5677,11.9118
