problem_1,file_1,problem_2,file_2,S_structure
p00118,s005615367.cpp,p00118,s006126205.cpp,0.6587
p00118,s005615367.cpp,p00118,s007996243.cpp,0.7716
p00118,s005615367.cpp,p00118,s010586621.cpp,0.6525
p00118,s005615367.cpp,p00118,s015107588.cpp,0.5941
p00118,s005615367.cpp,p00118,s023159886.cpp,0.6868
p00118,s005615367.cpp,p00118,s025016103.cpp,0.6137
p00118,s005615367.cpp,p00118,s025694316.cpp,0.4997
p00118,s005615367.cpp,p00118,s029981568.cpp,0.8103
p00118,s005615367.cpp,p00118,s030305382.cpp,0.6539
p00118,s005615367.cpp,p00118,s063906183.cpp,0.6423
p00118,s005615367.cpp,p00118,s074715139.cpp,0.6304
p00118,s005615367.cpp,p00118,s129847702.cpp,0.652
p00118,s005615367.cpp,p00118,s246241553.cpp,0.644
p00118,s005615367.cpp,p00118,s327876566.cpp,0.6564
p00118,s005615367.cpp,p00118,s531360425.cpp,0.652
p00118,s005615367.cpp,p00118,s617630367.cpp,0.6324
p00118,s005615367.cpp,p00118,s693559256.cpp,0.6564
p00118,s005615367.cpp,p00118,s881701389.cpp,0.6523
p00118,s005615367.cpp,p00118,s916567837.cpp,0.652
p00118,s005615367.cpp,p00118,s968566472.cpp,0.6608
p00118,s006126205.cpp,p00118,s007996243.cpp,0.5602
p00118,s006126205.cpp,p00118,s010586621.cpp,0.5429
p00118,s006126205.cpp,p00118,s015107588.cpp,0.6664
p00118,s006126205.cpp,p00118,s023159886.cpp,0.7673
p00118,s006126205.cpp,p00118,s025016103.cpp,0.6587
p00118,s006126205.cpp,p00118,s025694316.cpp,0.4287
p00118,s006126205.cpp,p00118,s029981568.cpp,0.7303
p00118,s006126205.cpp,p00118,s030305382.cpp,0.8947
p00118,s006126205.cpp,p00118,s063906183.cpp,0.7884
p00118,s006126205.cpp,p00118,s074715139.cpp,0.6989
p00118,s006126205.cpp,p00118,s129847702.cpp,0.7181
p00118,s006126205.cpp,p00118,s246241553.cpp,0.778
p00118,s006126205.cpp,p00118,s327876566.cpp,0.7274
p00118,s006126205.cpp,p00118,s531360425.cpp,0.7181
p00118,s006126205.cpp,p00118,s617630367.cpp,0.7007
p00118,s006126205.cpp,p00118,s693559256.cpp,0.7274
p00118,s006126205.cpp,p00118,s881701389.cpp,0.7285
p00118,s006126205.cpp,p00118,s916567837.cpp,0.7181
p00118,s006126205.cpp,p00118,s968566472.cpp,0.8018
p00118,s007996243.cpp,p00118,s010586621.cpp,0.6634
p00118,s007996243.cpp,p00118,s015107588.cpp,0.5589
p00118,s007996243.cpp,p00118,s023159886.cpp,0.6479
p00118,s007996243.cpp,p00118,s025016103.cpp,0.5978
p00118,s007996243.cpp,p00118,s025694316.cpp,0.6478
p00118,s007996243.cpp,p00118,s029981568.cpp,0.6977
p00118,s007996243.cpp,p00118,s030305382.cpp,0.554
p00118,s007996243.cpp,p00118,s063906183.cpp,0.5705
p00118,s007996243.cpp,p00118,s074715139.cpp,0.5723
p00118,s007996243.cpp,p00118,s129847702.cpp,0.601
p00118,s007996243.cpp,p00118,s246241553.cpp,0.5872
p00118,s007996243.cpp,p00118,s327876566.cpp,0.6077
p00118,s007996243.cpp,p00118,s531360425.cpp,0.601
p00118,s007996243.cpp,p00118,s617630367.cpp,0.5874
p00118,s007996243.cpp,p00118,s693559256.cpp,0.6077
p00118,s007996243.cpp,p00118,s881701389.cpp,0.5964
p00118,s007996243.cpp,p00118,s916567837.cpp,0.601
p00118,s007996243.cpp,p00118,s968566472.cpp,0.6036
p00118,s010586621.cpp,p00118,s015107588.cpp,0.6767
p00118,s010586621.cpp,p00118,s023159886.cpp,0.677
p00118,s010586621.cpp,p00118,s025016103.cpp,0.639
p00118,s010586621.cpp,p00118,s025694316.cpp,0.6151
p00118,s010586621.cpp,p00118,s029981568.cpp,0.5891
p00118,s010586621.cpp,p00118,s030305382.cpp,0.5404
p00118,s010586621.cpp,p00118,s063906183.cpp,0.5337
p00118,s010586621.cpp,p00118,s074715139.cpp,0.599
p00118,s010586621.cpp,p00118,s129847702.cpp,0.5995
p00118,s010586621.cpp,p00118,s246241553.cpp,0.5904
p00118,s010586621.cpp,p00118,s327876566.cpp,0.602
p00118,s010586621.cpp,p00118,s531360425.cpp,0.5995
p00118,s010586621.cpp,p00118,s617630367.cpp,0.5912
p00118,s010586621.cpp,p00118,s693559256.cpp,0.602
p00118,s010586621.cpp,p00118,s881701389.cpp,0.694
p00118,s010586621.cpp,p00118,s916567837.cpp,0.5995
p00118,s010586621.cpp,p00118,s968566472.cpp,0.5925
p00118,s015107588.cpp,p00118,s023159886.cpp,0.7389
p00118,s015107588.cpp,p00118,s025016103.cpp,0.6856
p00118,s015107588.cpp,p00118,s025694316.cpp,0.5225
p00118,s015107588.cpp,p00118,s029981568.cpp,0.6338
p00118,s015107588.cpp,p00118,s030305382.cpp,0.6764
p00118,s015107588.cpp,p00118,s063906183.cpp,0.6442
p00118,s015107588.cpp,p00118,s074715139.cpp,0.6869
p00118,s015107588.cpp,p00118,s129847702.cpp,0.6834
p00118,s015107588.cpp,p00118,s246241553.cpp,0.7343
p00118,s015107588.cpp,p00118,s327876566.cpp,0.675
p00118,s015107588.cpp,p00118,s531360425.cpp,0.6834
p00118,s015107588.cpp,p00118,s617630367.cpp,0.6787
p00118,s015107588.cpp,p00118,s693559256.cpp,0.675
p00118,s015107588.cpp,p00118,s881701389.cpp,0.7112
p00118,s015107588.cpp,p00118,s916567837.cpp,0.6834
p00118,s015107588.cpp,p00118,s968566472.cpp,0.7258
p00118,s023159886.cpp,p00118,s025016103.cpp,0.6533
p00118,s023159886.cpp,p00118,s025694316.cpp,0.5276
p00118,s023159886.cpp,p00118,s029981568.cpp,0.7054
p00118,s023159886.cpp,p00118,s030305382.cpp,0.822
p00118,s023159886.cpp,p00118,s063906183.cpp,0.8099
p00118,s023159886.cpp,p00118,s074715139.cpp,0.7593
p00118,s023159886.cpp,p00118,s129847702.cpp,0.8053
p00118,s023159886.cpp,p00118,s246241553.cpp,0.8146
p00118,s023159886.cpp,p00118,s327876566.cpp,0.8194
p00118,s023159886.cpp,p00118,s531360425.cpp,0.8053
