problem_1,file_1,problem_2,file_2,S_token
p00118,s005615367.cpp,p00118,s006126205.cpp,0.5147058823529411
p00118,s005615367.cpp,p00118,s007996243.cpp,0.5694444444444444
p00118,s005615367.cpp,p00118,s010586621.cpp,0.5693430656934306
p00118,s005615367.cpp,p00118,s015107588.cpp,0.45255474452554745
p00118,s005615367.cpp,p00118,s023159886.cpp,0.5492957746478874
p00118,s005615367.cpp,p00118,s025016103.cpp,0.44565217391304346
p00118,s005615367.cpp,p00118,s025694316.cpp,0.2885572139303483
p00118,s005615367.cpp,p00118,s029981568.cpp,0.5594405594405595
p00118,s005615367.cpp,p00118,s030305382.cpp,0.4444444444444444
p00118,s005615367.cpp,p00118,s063906183.cpp,0.5
p00118,s005615367.cpp,p00118,s074715139.cpp,0.45925925925925926
p00118,s005615367.cpp,p00118,s129847702.cpp,0.5373134328358209
p00118,s005615367.cpp,p00118,s246241553.cpp,0.5112781954887218
p00118,s005615367.cpp,p00118,s327876566.cpp,0.5333333333333333
p00118,s005615367.cpp,p00118,s531360425.cpp,0.5037037037037037
p00118,s005615367.cpp,p00118,s617630367.cpp,0.43283582089552236
p00118,s005615367.cpp,p00118,s693559256.cpp,0.5333333333333333
p00118,s005615367.cpp,p00118,s881701389.cpp,0.5755395683453237
p00118,s005615367.cpp,p00118,s916567837.cpp,0.5112781954887218
p00118,s005615367.cpp,p00118,s968566472.cpp,0.5
p00118,s006126205.cpp,p00118,s007996243.cpp,0.40298507462686567
p00118,s006126205.cpp,p00118,s010586621.cpp,0.47244094488188976
p00118,s006126205.cpp,p00118,s015107588.cpp,0.6299212598425197
p00118,s006126205.cpp,p00118,s023159886.cpp,0.48484848484848486
p00118,s006126205.cpp,p00118,s025016103.cpp,0.3563218390804598
p00118,s006126205.cpp,p00118,s025694316.cpp,0.36649214659685864
p00118,s006126205.cpp,p00118,s029981568.cpp,0.6165413533834586
p00118,s006126205.cpp,p00118,s030305382.cpp,0.704
p00118,s006126205.cpp,p00118,s063906183.cpp,0.6984126984126984
p00118,s006126205.cpp,p00118,s074715139.cpp,0.56
p00118,s006126205.cpp,p00118,s129847702.cpp,0.6612903225806451
p00118,s006126205.cpp,p00118,s246241553.cpp,0.6178861788617886
p00118,s006126205.cpp,p00118,s327876566.cpp,0.672
p00118,s006126205.cpp,p00118,s531360425.cpp,0.656
p00118,s006126205.cpp,p00118,s617630367.cpp,0.5806451612903226
p00118,s006126205.cpp,p00118,s693559256.cpp,0.672
p00118,s006126205.cpp,p00118,s881701389.cpp,0.5116279069767442
p00118,s006126205.cpp,p00118,s916567837.cpp,0.6504065040650406
p00118,s006126205.cpp,p00118,s968566472.cpp,0.6349206349206349
p00118,s007996243.cpp,p00118,s010586621.cpp,0.4
p00118,s007996243.cpp,p00118,s015107588.cpp,0.35555555555555557
p00118,s007996243.cpp,p00118,s023159886.cpp,0.5142857142857142
p00118,s007996243.cpp,p00118,s025016103.cpp,0.4065934065934066
p00118,s007996243.cpp,p00118,s025694316.cpp,0.31155778894472363
p00118,s007996243.cpp,p00118,s029981568.cpp,0.48226950354609927
p00118,s007996243.cpp,p00118,s030305382.cpp,0.3458646616541353
p00118,s007996243.cpp,p00118,s063906183.cpp,0.417910447761194
p00118,s007996243.cpp,p00118,s074715139.cpp,0.3007518796992481
