problem_1,file_1,problem_2,file_2,clone_type,true_type_label,pred_type,pred_type_label,S_token,S_AST,S_structure,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan,S_PDG,pdg_valid
p1,s1.cpp,p1,s10.cpp,1,Type-1,1,Type-1,1.0,0.9848,1.0,0.9998,0.98154694,0.7144899,1.0,1.0
p1,s1.cpp,p1,s11.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,0.9766,0.8221656,0.17923395,1.0,1.0
p1,s1.cpp,p1,s12.cpp,1,Type-1,1,Type-1,1.0,1.0,0.9231,0.8933,0.68394774,0.15012987,1.0,1.0
p1,s1.cpp,p1,s13.cpp,1,Type-1,1,Type-1,1.0,0.9954,1.0,1.0,1.0,1.0,1.0,1.0
p1,s1.cpp,p1,s14.cpp,1,Type-1,1,Type-1,1.0,0.9727,1.0,1.0,1.0,1.0,1.0,1.0
p1,s1.cpp,p1,s15.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,0.9792,0.8307028,0.19156355,1.0,1.0
p1,s1.cpp,p1,s16.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,0.9868,0.86006707,0.22306491,1.0,1.0
p1,s1.cpp,p1,s17.cpp,1,Type-1,1,Type-1,1.0,0.9401,1.0,1.0,1.0,1.0,1.0,1.0
p1,s1.cpp,p1,s18.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p1,s1.cpp,p1,s19.cpp,1,Type-1,1,Type-1,1.0,0.9939,1.0,1.0,1.0,1.0,1.0,1.0
p1,s1.cpp,p1,s20.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9292,0.726533,0.10634451,1.0,1.0
p1,s1.cpp,p1,s21.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8968,0.68761605,0.0900244,1.0,1.0
p1,s1.cpp,p1,s22.cpp,2,Type-2,2,Type-2,1.0,0.9803,1.0,0.9217,0.7163837,0.101927444,1.0,1.0
p1,s1.cpp,p1,s23.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8697,0.6619886,0.0831124,1.0,1.0
p1,s1.cpp,p1,s24.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9131,0.7058159,0.09783683,1.0,1.0
p1,s1.cpp,p1,s25.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.948,0.75620085,0.12335932,1.0,1.0
p1,s1.cpp,p1,s26.cpp,2,Type-2,2,Type-2,1.0,0.9683,1.0,0.8991,0.6900359,0.09215316,1.0,1.0
p1,s1.cpp,p1,s27.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9359,0.736377,0.11162708,1.0,1.0
p1,s1.cpp,p1,s28.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9924,0.89047194,0.26920074,1.0,1.0
p1,s1.cpp,p1,s29.cpp,2,Type-2,2,Type-2,0.90123457,0.9584,0.9231,0.6971,0.5623032,0.067302905,1.0,1.0
p1,s1.cpp,p1,s30.cpp,3,Type-3,3,Type-3,0.88622755,0.9606,0.9527,0.9929,0.89373493,0.2800493,0.8461,1.0
p1,s1.cpp,p1,s31.cpp,3,Type-3,3,Type-3,0.88622755,0.9606,0.9527,0.9026,0.69376993,0.09214297,0.8461,1.0
p1,s1.cpp,p1,s32.cpp,3,Type-3,3,Type-3,0.9005848,0.9188,0.9021,0.9838,0.8475295,0.20198348,1.0,1.0
p1,s1.cpp,p1,s33.cpp,3,Type-3,3,Type-3,0.91764706,0.9551,0.948,0.9901,0.8767316,0.2502064,0.8078,1.0
p1,s1.cpp,p1,s34.cpp,3,Type-3,3,Type-3,0.7804878,0.8892,0.8705,0.8827,0.67367285,0.08584797,1.0,1.0
p1,s1.cpp,p1,s35.cpp,3,Type-3,3,Type-3,1.0,0.9757,1.0,0.9915,0.88495576,0.2668873,1.0,1.0
p1,s1.cpp,p1,s36.cpp,3,Type-3,3,Type-3,0.9356725,0.948,0.9298,0.8991,0.6900835,0.09092727,0.9611,1.0
p1,s1.cpp,p1,s37.cpp,3,Type-3,3,Type-3,0.89534885,0.9365,0.9264,0.9436,0.74850297,0.12047757,0.8184,1.0
p1,s1.cpp,p1,s38.cpp,3,Type-3,3,Type-3,0.6708075,0.8518,0.8155,0.952,0.76341707,0.13421378,0.7636,1.0
p1,s1.cpp,p1,s39.cpp,3,Type-3,3,Type-3,1.0,0.9954,1.0,0.9097,0.7018036,0.096053176,1.0,1.0
p1,s1.cpp,p1,s40.cpp,4,Type-4,4,Type-4,0.7672956,0.8801,0.928,0.9454,0.7517101,0.12219711,0.62,1.0
p1,s1.cpp,p1,s41.cpp,4,Type-4,4,Type-4,0.6770833,0.7733,0.8695,0.893,0.6837607,0.09200817,0.7219,1.0
p1,s1.cpp,p1,s42.cpp,4,Type-4,4,Type-4,1.0,0.9727,1.0,0.9829,0.8440243,0.19742946,0.7018,1.0
p1,s1.cpp,p1,s43.cpp,4,Type-4,4,Type-4,0.6168224,0.6725,0.7989,0.8407,0.6392227,0.07443356,0.7023,1.0
p1,s1.cpp,p1,s44.cpp,4,Type-4,4,Type-4,0.7672956,0.8774,0.928,0.8286,0.63075566,0.072785504,0.62,1.0
p1,s1.cpp,p1,s45.cpp,4,Type-4,4,Type-4,0.85714287,0.8815,0.8967,0.9465,0.7535795,0.12346899,0.7638,1.0
p1,s1.cpp,p1,s46.cpp,4,Type-4,4,Type-4,0.6806283,0.7685,0.8617,0.8467,0.6436249,0.07605546,0.7219,1.0
p1,s1.cpp,p1,s47.cpp,4,Type-4,4,Type-4,0.7058824,0.7942,0.879,0.8369,0.6364967,0.0751264,0.6349,1.0
p1,s1.cpp,p1,s48.cpp,4,Type-4,4,Type-4,0.78612715,0.8478,0.898,0.9434,0.748279,0.120195195,0.7514,1.0
p1,s1.cpp,p1,s49.cpp,4,Type-4,4,Type-4,0.6082949,0.6444,0.7927,0.8517,0.64741683,0.07837912,0.701,1.0
p20,s1.cpp,p20,s10.cpp,1,Type-1,1,Type-1,1.0,0.9949,1.0,0.9982,0.94321823,0.4494786,1.0,1.0
p20,s1.cpp,p20,s11.cpp,1,Type-1,1,Type-1,1.0,1.0,0.9205,0.9677,0.79738456,0.17436792,1.0,1.0
p20,s1.cpp,p20,s12.cpp,1,Type-1,1,Type-1,1.0,0.9694,1.0,0.9955,0.91374266,0.34122705,1.0,1.0
p20,s1.cpp,p20,s13.cpp,1,Type-1,1,Type-1,1.0,0.9949,1.0,0.9982,0.94321823,0.4494786,1.0,1.0
p20,s1.cpp,p20,s14.cpp,1,Type-1,1,Type-1,1.0,1.0,0.9205,0.9458,0.75227565,0.18004717,1.0,1.0
p20,s1.cpp,p20,s15.cpp,1,Type-1,1,Type-1,1.0,0.9677,1.0,0.9966,0.9237022,0.37235627,1.0,1.0
p20,s1.cpp,p20,s16.cpp,1,Type-1,1,Type-1,1.0,1.0,0.9205,0.9862,0.85763294,0.23372132,1.0,1.0
p20,s1.cpp,p20,s17.cpp,1,Type-1,1,Type-1,1.0,0.9949,1.0,0.9966,0.9237022,0.37235627,1.0,1.0
p20,s1.cpp,p20,s18.cpp,1,Type-1,1,Type-1,1.0,0.9949,1.0,0.9982,0.94321823,0.4494786,1.0,1.0
p20,s1.cpp,p20,s19.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,0.9814,0.83850414,0.20611332,1.0,1.0
