model,max_depth,min_samples_leaf,min_samples_split,criterion,class_weight,random_state,cv_f1_macro_mean,cv_f1_macro_std,n_estimators
ExtraTrees,,1,,gini,,42,0.860367918419701,0.03936631322901355,100.0
ExtraTrees,,1,,gini,balanced,42,0.860367918419701,0.03936631322901355,100.0
ExtraTrees,,1,,gini,,42,0.8528260518685468,0.03624823329768346,200.0
ExtraTrees,,1,,gini,balanced,42,0.8528260518685468,0.03624823329768346,200.0
ExtraTrees,,1,,gini,,42,0.8526172359914532,0.038391632868710196,300.0
ExtraTrees,,1,,gini,balanced,42,0.8526172359914532,0.038391632868710196,300.0
ExtraTrees,,2,,entropy,,42,0.8515203878191994,0.038670793305721464,200.0
ExtraTrees,,2,,entropy,balanced,42,0.8515203878191994,0.038670793305721464,200.0
ExtraTrees,,1,,entropy,,42,0.8494388408729765,0.03348710142365108,100.0
ExtraTrees,,1,,entropy,balanced,42,0.8494388408729765,0.03348710142365108,100.0
RandomForest,5.0,3,,entropy,,42,0.8492236480482894,0.03644708835904273,100.0
RandomForest,5.0,3,,entropy,balanced,42,0.8492236480482894,0.03644708835904273,100.0
RandomForest,6.0,5,,entropy,,42,0.8492236480482894,0.03644708835904273,100.0
RandomForest,6.0,5,,entropy,balanced,42,0.8492236480482894,0.03644708835904273,100.0
ExtraTrees,6.0,1,,gini,,42,0.8488918882289725,0.037488093474178516,200.0
ExtraTrees,6.0,1,,gini,balanced,42,0.8488918882289725,0.037488093474178516,200.0
RandomForest,5.0,1,,entropy,,42,0.848728923955754,0.03218409700993927,100.0
RandomForest,5.0,1,,entropy,balanced,42,0.848728923955754,0.03218409700993927,100.0
RandomForest,4.0,2,,gini,,42,0.8465142728002144,0.03693448438033655,200.0
RandomForest,4.0,2,,gini,balanced,42,0.8465142728002144,0.03693448438033655,200.0
RandomForest,4.0,3,,gini,,42,0.8465142728002144,0.03693448438033655,200.0
RandomForest,4.0,3,,gini,balanced,42,0.8465142728002144,0.03693448438033655,200.0
RandomForest,4.0,5,,gini,,42,0.8465142728002144,0.03693448438033655,300.0
RandomForest,4.0,5,,gini,balanced,42,0.8465142728002144,0.03693448438033655,300.0
ExtraTrees,,3,,gini,,42,0.8464324346661058,0.039861009398816115,100.0
ExtraTrees,,3,,gini,balanced,42,0.8464324346661058,0.039861009398816115,100.0
RandomForest,5.0,5,,entropy,,42,0.8464055668091556,0.036970481608608295,100.0
RandomForest,5.0,5,,entropy,balanced,42,0.8464055668091556,0.036970481608608295,100.0
RandomForest,6.0,3,,entropy,,42,0.8463772302018715,0.03489605246945553,100.0
RandomForest,6.0,3,,entropy,balanced,42,0.8463772302018715,0.03489605246945553,100.0
ExtraTrees,,2,,gini,,42,0.846313382366014,0.04016297800277385,100.0
ExtraTrees,,2,,gini,balanced,42,0.846313382366014,0.04016297800277385,100.0
ExtraTrees,6.0,1,,gini,,42,0.8462249645094173,0.037114721867758646,100.0
ExtraTrees,6.0,1,,gini,balanced,42,0.8462249645094173,0.037114721867758646,100.0
ExtraTrees,,2,,entropy,,42,0.8461080726491044,0.042864393410049786,300.0
ExtraTrees,,2,,entropy,balanced,42,0.8461080726491044,0.042864393410049786,300.0
ExtraTrees,,2,,entropy,,42,0.8459838719303914,0.039976585882072174,100.0
ExtraTrees,,2,,entropy,balanced,42,0.8459838719303914,0.039976585882072174,100.0
ExtraTrees,,2,,gini,,42,0.8459341251083237,0.03606272725428121,200.0
ExtraTrees,,2,,gini,balanced,42,0.8459341251083237,0.03606272725428121,200.0
